scenario_id,difficulty,family,schedule_exact,schedule_valid,position_accuracy,packet_precision,packet_recall,packet_f1,moved_exact,moved_abs_error,composite,policy
goalshield-hard-0041,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0041,hard,repair,0.0,1.0,0.14285714285714285,0.3333333333333333,1.0,0.5,0.0,2,0.103571,apply_all_packets
goalshield-hard-0041,hard,repair,0.0,1.0,0.14285714285714285,0.5,1.0,0.6666666666666666,0.0,2,0.128571,same_team_any_status
goalshield-hard-0041,hard,repair,0.0,0.0,0.7142857142857143,1.0,0.5,0.6666666666666666,0.0,1,0.242857,latest_visible_key
goalshield-hard-0042,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0042,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0042,hard,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-hard-0043,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0043,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0043,hard,repair,0.0,1.0,0.2857142857142857,0.3333333333333333,1.0,0.5,0.0,3,0.132143,apply_all_packets
goalshield-hard-0043,hard,repair,0.0,1.0,0.2857142857142857,0.6666666666666666,1.0,0.8,0.0,1,0.177143,same_team_any_status
goalshield-hard-0043,hard,repair,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1,0.085714,latest_visible_key
goalshield-hard-0044,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0044,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0044,hard,switch,0.0,1.0,0.7142857142857143,0.3333333333333333,1.0,0.5,0.0,1,0.217857,apply_all_packets
goalshield-hard-0044,hard,switch,0.0,1.0,0.0,0.5,1.0,0.6666666666666666,0.0,1,0.1,same_team_any_status
goalshield-hard-0044,hard,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-hard-0045,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0045,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0045,hard,repair,0.0,1.0,0.42857142857142855,0.3333333333333333,1.0,0.5,0.0,1,0.160714,apply_all_packets
goalshield-hard-0045,hard,repair,0.0,1.0,0.42857142857142855,0.4,1.0,0.5714285714285715,0.0,1,0.171429,same_team_any_status
goalshield-hard-0045,hard,repair,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1,0.085714,latest_visible_key
goalshield-hard-0046,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0046,hard,switch,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,4,0.085714,ignore_updates
goalshield-hard-0046,hard,switch,0.0,1.0,0.7142857142857143,0.5,1.0,0.6666666666666666,0.0,1,0.242857,same_team_any_status
goalshield-hard-0046,hard,switch,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,2,0.057143,latest_visible_key
goalshield-hard-0047,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0047,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0047,hard,repair,0.0,1.0,0.14285714285714285,0.3333333333333333,1.0,0.5,0.0,3,0.103571,apply_all_packets
goalshield-hard-0047,hard,repair,0.0,1.0,0.5714285714285714,0.6666666666666666,1.0,0.8,0.0,2,0.234286,same_team_any_status
goalshield-hard-0047,hard,repair,0.0,0.0,0.42857142857142855,1.0,0.5,0.6666666666666666,0.0,1,0.185714,latest_visible_key
goalshield-hard-0048,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0048,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0049,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0049,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0049,hard,repair,0.0,1.0,0.42857142857142855,0.3333333333333333,1.0,0.5,0.0,1,0.160714,apply_all_packets
goalshield-hard-0049,hard,repair,0.0,1.0,0.42857142857142855,0.5,1.0,0.6666666666666666,0.0,1,0.185714,same_team_any_status
goalshield-hard-0049,hard,repair,0.0,0.0,0.7142857142857143,1.0,0.5,0.6666666666666666,0.0,1,0.242857,latest_visible_key
goalshield-hard-0050,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0050,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0050,hard,switch,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0,0.95,latest_visible_key
goalshield-hard-0051,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0051,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0051,hard,repair,0.0,1.0,0.14285714285714285,0.3333333333333333,1.0,0.5,0.0,3,0.103571,apply_all_packets
goalshield-hard-0051,hard,repair,0.0,1.0,0.2857142857142857,0.6666666666666666,1.0,0.8,0.0,3,0.177143,same_team_any_status
goalshield-hard-0051,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,1.0,0,0.214286,latest_visible_key
goalshield-hard-0052,hard,switch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0052,hard,switch,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0052,hard,switch,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,1,0.142857,latest_visible_key
goalshield-hard-0053,hard,repair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,gold
goalshield-hard-0053,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,3,0.114286,ignore_updates
goalshield-hard-0053,hard,repair,0.0,1.0,0.42857142857142855,0.3333333333333333,1.0,0.5,0.0,1,0.160714,apply_all_packets
goalshield-hard-0053,hard,repair,0.0,1.0,0.42857142857142855,0.6666666666666666,1.0,0.8,0.0,1,0.205714,same_team_any_status
goalshield-hard-0053,hard,repair,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,1.0,0,0.214286,latest_visible_key
